,nombre,tipo,latitud_y,longitud_x,fuente
64,Historic French Style Villa,Entire home/apt,-34.60842,-58.37316,Airbnb
65,Recoleta French Style apartment,Entire home/apt,-34.60812,-58.37356,Airbnb
66,"Gorgeous 2bd/2.5 bth, Rooftop Pool, Pal. Hollywood",Entire home/apt,-34.57797,-58.43821,Airbnb
67,High category appartment Belgrano,Entire home/apt,-34.56928,-58.443769999999994,Airbnb
68,Six luminous suites at Soho,Private room,-34.58907,-58.433859999999996,Airbnb
69,Studio in Recoleta most secure area,Entire home/apt,-34.595909999999996,-58.39931,Airbnb
70,Beautiful house in Palermo SOHO,Entire home/apt,-34.5902,-58.429930000000006,Airbnb
71,"Palermo Soho ""Ayres del Botanico"" Tower",Entire home/apt,-34.584559999999996,-58.42321,Airbnb
72,Palermo Cervino Boulevard Apartment,Entire home/apt,-34.57994,-58.41315,Airbnb
73,Palermo Soho Home with a View,Entire home/apt,-34.58267,-58.4261,Airbnb
74,Palermo Apt - Las Cañitas area,Entire home/apt,-34.57213,-58.43294,Airbnb
75,Nice Studio in Palermo Soho,Entire home/apt,-34.59326,-58.417719999999996,Airbnb
76,Spectacular Penthouse 2BR with River&Sunrise views,Entire home/apt,-34.58632,-58.43241,Airbnb
77,Amazing apartment in Recoleta,Entire home/apt,-34.58918,-58.39518,Airbnb
78,Studio Loft in Palermo Soho #1,Entire home/apt,-34.589,-58.42024,Airbnb
79,GUAPO / Amazing Large Studio* with great views.🎈,Entire home/apt,-34.58256,-58.425230000000006,Airbnb
80,"Heart of Recoleta, no better place!",Entire home/apt,-34.590140000000005,-58.39386,Airbnb
81,Studio In Downtown Buenos Aires,Entire home/apt,-34.61365,-58.3849,Airbnb
82,RECOLETA Juncal 1360 2C,Entire home/apt,-34.59258,-58.3866,Airbnb
83,Beautiful Duplex - Trendy Palermo,Entire home/apt,-34.56692,-58.433240000000005,Airbnb
84,PALERMO SOHO Cheap Little Apt,Entire home/apt,-34.581070000000004,-58.426019999999994,Airbnb
85,"BUENOS AIRES, RECOLETA, 2 BEDROOM APT",Entire home/apt,-34.59002,-58.404790000000006,Airbnb
86,Private room with balcony with view,Private room,-34.57269,-58.43395,Airbnb
87,Studio 1A - Corazon de San Telmo,Entire home/apt,-34.62014,-58.373709999999996,Airbnb
88,"SOFA STUDIO, SAN TELMO, 1B",Entire home/apt,-34.61998,-58.37151,Airbnb
89,STUDIO DEFENSA 2A en San Telmo,Entire home/apt,-34.61998,-58.37151,Airbnb
90,STUDIO SOFA CAMA & PATIO,Entire home/apt,-34.61998,-58.37151,Airbnb
91,Lovely Place at a GREAT Location!,Entire home/apt,-34.582879999999996,-58.40535,Airbnb
92,"Apt in Palermo, Las Cañitas",Entire home/apt,-34.57521,-58.428830000000005,Airbnb
93,Luminous Palermo 1BDR Apartment,Entire home/apt,-34.58332,-58.40643000000001,Airbnb
94,Amazing Studio with Terrace & BBQ,Entire home/apt,-34.59446,-58.395880000000005,Airbnb
95,Petite Home,Entire home/apt,-34.5522,-58.45802,Airbnb
96,"Beautiful Apt in great location, 100% Good Reviews",Entire home/apt,-34.62144,-58.41705,Airbnb
97,!! Amazing 1Bdr Great Terrace - BBQ - sun/view !!,Entire home/apt,-34.59118,-58.396640000000005,Airbnb
98,best neighborhood! palermo,Entire home/apt,-34.59102,-58.43415,Airbnb
99,Garden studio flat with swimming pool,Entire home/apt,-34.573609999999995,-58.452380000000005,Airbnb
100,"Central loc. Entire apt, all incl.",Entire home/apt,-34.62053,-58.41653,Airbnb
101,★ Budda Lounge - Dream View Studio ★,Entire home/apt,-34.58064,-58.423669999999994,Airbnb
102,GREAT! Apartment Alto Palermo,Entire home/apt,-34.592220000000005,-58.41285,Airbnb
103,Great apart with private terrace & chill out area.,Entire home/apt,-34.586,-58.425340000000006,Airbnb
104,"Spotless apt. in a great location, Wi-Fi, balcony!",Entire home/apt,-34.62053,-58.41653,Airbnb
105,Modern & Luminous Apt in GreatLocation!,Entire home/apt,-34.62053,-58.41653,Airbnb
106,"habitación individual, única huésped de la casa.",Private room,-34.59278,-58.38196,Airbnb
107,☼ Sunny   1 bedroom + balcony with views,Entire home/apt,-34.593070000000004,-58.403369999999995,Airbnb
108,Sunny apartment in Buenos Aires,Entire home/apt,-34.60236,-58.39291,Airbnb
109,"Cosy, central apartment in BsAs",Entire home/apt,-34.61842,-58.431940000000004,Airbnb
110,Experiencia Recoleta-Buenos Aires,Entire home/apt,-34.583259999999996,-58.40494,Airbnb
111,Stunning 1BD w/terrace in Palermo,Entire home/apt,-34.57682,-58.400619999999996,Airbnb
112,"B&B ""Tucuman 2430""1 room x 1 or 2p",Private room,-34.601929999999996,-58.40109,Airbnb
113,DEPARTMENT C / CABIN SECURITY,Shared room,-34.62583,-58.40795,Airbnb
114,ROOM PALERMO best location in BA,Private room,-34.58248,-58.435230000000004,Airbnb
115,Lovely apartment in Buenos Aires,Entire home/apt,-34.5981,-58.37775,Airbnb
116,AMPLIA habitación individual en Buenos Aires,Private room,-34.585029999999996,-58.41206,Airbnb
117,Recoleta Luxury: Design and Style!,Entire home/apt,-34.59323,-58.3867,Airbnb
118,Downtown 4 blocks away from Obelisk,Entire home/apt,-34.60517,-58.3884,Airbnb
119,Monthly Apartment Recoleta,Entire home/apt,-34.5899,-58.390269999999994,Airbnb
120,Depto Recoleta 3 dormitorios. Balcon y Wifi,Entire home/apt,-34.59328,-58.39443000000001,Airbnb
